City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Sehithwa,BW,2020-11-28 17:03:30,-20.47,22.72,87.24,36,78,5.01,broken clouds
199,Shediac,CA,2020-11-28 17:03:30,46.22,-64.54,41.0,100,90,8.05,overcast clouds
200,Maarianhamina,AX,2020-11-28 17:03:30,60.1,19.93,33.8,80,90,3.36,overcast clouds
201,Ulladulla,AU,2020-11-28 17:03:30,-35.35,150.47,82.4,45,100,12.75,overcast clouds
202,Road Town,VG,2020-11-28 17:03:31,18.42,-64.62,82.4,78,20,2.24,few clouds
203,Bathsheba,BB,2020-11-28 17:03:31,13.22,-59.52,86.0,74,20,14.99,few clouds
204,Udachnyy,RU,2020-11-28 17:03:31,66.42,112.4,5.0,84,0,2.24,clear sky
205,Nishihara,JP,2020-11-28 17:03:31,26.18,127.76,68.0,64,75,14.99,broken clouds
206,San Patricio,US,2020-11-28 17:03:31,28.02,-97.52,70.0,94,90,23.04,mist
207,Novikovo,RU,2020-11-28 17:03:31,51.15,37.89,39.54,88,100,13.82,overcast clouds
208,Tocopilla,CL,2020-11-28 17:03:31,-22.09,-70.2,72.63,42,8,7.47,clear sky
209,Yenagoa,NG,2020-11-28 17:03:32,4.92,6.26,79.56,86,62,4.0,light rain
210,Sivas,TR,2020-11-28 16:58:36,39.79,37.0,33.8,59,0,9.17,clear sky
211,Musoma,TZ,2020-11-28 17:03:32,-1.5,33.8,73.4,88,75,5.77,broken clouds
212,Mezen,RU,2020-11-28 17:03:32,65.85,44.24,16.56,96,37,7.47,scattered clouds
213,Victor Harbor,AU,2020-11-28 17:03:32,-35.57,138.62,59.0,77,51,4.0,broken clouds
214,Maputo,MZ,2020-11-28 16:59:39,-25.97,32.59,78.8,78,20,13.87,few clouds
215,Klaksvik,FO,2020-11-28 17:03:32,62.23,-6.59,42.8,93,100,5.82,light rain
216,Ketchikan,US,2020-11-28 17:03:12,55.34,-131.65,37.4,100,90,20.8,overcast clouds
217,Hay River,CA,2020-11-28 17:00:04,60.82,-115.8,-4.0,83,24,5.82,few clouds
218,Aksha,RU,2020-11-28 17:03:32,50.28,113.29,9.39,89,77,6.33,broken clouds
219,Harper,LR,2020-11-28 17:03:33,4.38,-7.72,82.15,73,8,7.63,clear sky
